Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
GW1,11/02/2021,0.98,0.79,0.98,1,2,4,5,11,6.74,79.0,38.0,140.0,0.38,2.0,1.3,0.033,0.18999999999999995,2.5384615384615383
GW1,11/02/2021,1.02,1.03,1.02,1,4,9,15,28,6.74,79.0,38.0,140.0,0.38,2.0,1.3,0.033,-0.010000000000000009,2.5384615384615383
GW1,11/02/2021,3.9,2.0,3.9,5,25,67,52,150,6.74,79.0,38.0,140.0,0.38,2.0,1.3,0.033,1.9,2.5384615384615383
GW1,11/02/2021,5.8,3.5,5.8,11,37,65,27,140,6.74,79.0,38.0,140.0,0.38,2.0,1.3,0.033,2.3,2.5384615384615383
GW1,11/02/2021,9.8,7.0,9.8,17,32,42,13,100,6.74,79.0,38.0,140.0,0.38,2.0,1.3,0.033,2.8000000000000007,2.5384615384615383
GW7,20/09/2019,0.97,0.49,0.97,1,1,1,1,4,7.88,186.0,0.4,455.0,1.4,4.0,1.5,0.04,0.48,2.666666666666667
GW7,20/09/2019,1.93,0.93,1.93,1,1,1,1,4,7.88,186.0,0.4,455.0,1.4,4.0,1.5,0.04,0.9999999999999999,2.666666666666667
GW7,20/09/2019,4.0,1.9,4.0,1,2,3,9,14,7.88,186.0,0.4,455.0,1.4,4.0,1.5,0.04,2.1,2.666666666666667
GW7,20/09/2019,5.8,1.6,5.8,1,4,12,130,150,7.88,186.0,0.4,455.0,1.4,4.0,1.5,0.04,4.199999999999999,2.666666666666667
GW7,20/09/2019,10.4,4.8,10.4,5,12,38,77,130,7.88,186.0,0.4,455.0,1.4,4.0,1.5,0.04,5.6000000000000005,2.666666666666667
GW8,12/05/2020,0.88,0.9,0.95,1,1,1,1,4,8.04,34.0,0.1,37.0,0.1,2.0,1.5,0.035,-0.020000000000000018,2.3333333333333335
GW8,12/05/2020,1.75,1.69,1.9,7,2,1,1,9,8.04,34.0,0.1,37.0,0.1,2.0,1.5,0.035,0.06000000000000005,2.3333333333333335
GW8,12/05/2020,3.4,3.6,3.8,12,14,13,4,43,8.04,34.0,0.1,37.0,0.1,2.0,1.5,0.035,-0.20000000000000018,2.3333333333333335
GW8,12/05/2020,5.3,5.0,5.5,20,19,14,2,55,8.04,34.0,0.1,37.0,0.1,2.0,1.5,0.035,0.2999999999999998,2.3333333333333335
GW8,12/05/2020,9.4,8.2,9.6,30,24,16,2,72,8.04,34.0,0.1,37.0,0.1,2.0,1.5,0.035,1.200000000000001,2.3333333333333335
GW9,15/05/2019,1.06,0.08,1.07,1,1,1,1,4,7.93,214.0,0.2,555.0,1.5,4.0,1.7,0.041,0.9800000000000001,2.4117647058823533
GW9,15/05/2019,1.88,0.54,1.92,1,1,2,3,6,7.93,214.0,0.2,555.0,1.5,4.0,1.7,0.041,1.3399999999999999,2.4117647058823533
GW9,15/05/2019,4.6,2.3,4.7,2,3,4,16,25,7.93,214.0,0.2,555.0,1.5,4.0,1.7,0.041,2.3,2.4117647058823533
GW9,15/05/2019,6.2,1.04,6.5,2,4,12,150,170,7.93,214.0,0.2,555.0,1.5,4.0,1.7,0.041,5.16,2.4117647058823533
GW9,15/05/2019,10.6,5.0,11.0,4,11,44,130,190,7.93,214.0,0.2,555.0,1.5,4.0,1.7,0.041,5.6,2.4117647058823533
GW10,11/05/2021,1.03,0.79,9.8,1,1,1,1,1,8.0,228.0,0.2,555.0,1.6,2.0,1.6,0.044,0.24,2.7499999999999996
GW10,11/05/2021,1.83,0.9,0.9,1,1,1,3,3,8.0,228.0,0.2,555.0,1.6,2.0,1.6,0.044,0.93,2.7499999999999996
GW10,11/05/2021,4.2,2.7,2.1,1,1,1,12,14,8.0,228.0,0.2,555.0,1.6,2.0,1.6,0.044,1.5,2.7499999999999996
GW10,11/05/2021,5.9,1.05,3.9,2,2,4,100,110,8.0,228.0,0.2,555.0,1.6,2.0,1.6,0.044,4.8500000000000005,2.7499999999999996
GW10,11/05/2021,9.6,4.2,6.4,3,4,51,160,220,8.0,228.0,0.2,555.0,1.6,2.0,1.6,0.044,5.3999999999999995,2.7499999999999996
GW11,13/06/2019,1.09,0.13,1.09,1,1,1,1,2,7.91,236.0,0.3,635.0,1.8,3.0,1.4,0.034,0.9600000000000001,2.428571428571429
GW11,13/06/2019,2.0,0.1,2.0,1,1,2,6,9,7.91,236.0,0.3,635.0,1.8,3.0,1.4,0.034,1.9,2.428571428571429
GW11,13/06/2019,4.5,0.25,4.5,1,2,5,28,36,7.91,236.0,0.3,635.0,1.8,3.0,1.4,0.034,4.25,2.428571428571429
GW11,13/06/2019,6.7,2.2,6.7,1,3,14,96,110,7.91,236.0,0.3,635.0,1.8,3.0,1.4,0.034,4.5,2.428571428571429
GW11,13/06/2019,10.4,6.2,10.4,2,9,38,74,120,7.91,236.0,0.3,635.0,1.8,3.0,1.4,0.034,4.2,2.428571428571429
