Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA,30 min decay,SUVA
SW1,10/12/2019,0.89,0.49,0.93,1,4,15,39,58,7.57,59.0,0.3,140.0,0.32,1.0,1.6,0.02,0.4,1.25
SW1,10/12/2019,2.1,1.34,2.0,4,12,42,64,120,7.57,59.0,0.3,140.0,0.32,1.0,1.6,0.02,0.76,1.25
SW1,10/12/2019,4.0,3.3,4.1,7,33,61,40,140,7.57,59.0,0.3,140.0,0.32,1.0,1.6,0.02,0.7000000000000002,1.25
SW1,10/12/2019,5.9,5.6,6.1,13,49,64,31,160,7.57,59.0,0.3,140.0,0.32,1.0,1.6,0.02,0.3000000000000007,1.25
SW1,10/12/2019,11.6,9.8,11.2,22,61,62,25,170,7.57,59.0,0.3,140.0,0.32,1.0,1.6,0.02,1.799999999999999,1.25
SW2,9/12/2020,0.72,0.68,0.81,1,4,11,72,87,7.74,61.0,0.39,145.0,0.28,1.0,1.4,0.015,0.039999999999999925,1.0714285714285714
SW2,9/12/2020,1.67,1.42,1.71,1,9,48,93,150,7.74,61.0,0.39,145.0,0.28,1.0,1.4,0.015,0.25,1.0714285714285714
SW2,9/12/2020,3.9,3.7,4.1,6,23,65,62,160,7.74,61.0,0.39,145.0,0.28,1.0,1.4,0.015,0.19999999999999973,1.0714285714285714
SW2,9/12/2020,5.6,5.0,5.8,10,35,67,48,160,7.74,61.0,0.39,145.0,0.28,1.0,1.4,0.015,0.5999999999999996,1.0714285714285714
SW2,9/12/2020,9.4,8.4,9.8,17,49,66,37,170,7.74,61.0,0.39,145.0,0.28,1.0,1.4,0.015,1.0,1.0714285714285714
SW3,26/03/2019,0.9,0.39,0.9,2,7,21,41,71,7.39,57.0,0.6,130.0,0.26,3.0,1.5,0.033,0.51,2.2
SW3,26/03/2019,2.1,1.23,2.1,6,23,55,44,130,7.39,57.0,0.6,130.0,0.26,3.0,1.5,0.033,0.8700000000000001,2.2
SW3,26/03/2019,3.9,3.5,3.9,14,40,68,31,150,7.39,57.0,0.6,130.0,0.26,3.0,1.5,0.033,0.3999999999999999,2.2
SW3,26/03/2019,6.4,5.7,6.4,22,50,70,25,170,7.39,57.0,0.6,130.0,0.26,3.0,1.5,0.033,0.7000000000000002,2.2
SW3,26/03/2019,10.8,7.6,10.8,33,59,70,21,180,7.39,57.0,0.6,130.0,0.26,3.0,1.5,0.033,3.200000000000001,2.2
SW4,14/01/2020,0.99,0.71,0.99,2,8,22,30,62,7.07,26.0,0.8,65.0,0.18,1.0,1.2,0.008,0.28,0.6666666666666667
SW4,14/01/2020,1.84,1.65,1.84,9,16,32,19,76,7.07,26.0,0.8,65.0,0.18,1.0,1.2,0.008,0.19000000000000017,0.6666666666666667
SW4,14/01/2020,4.0,4.2,4.0,13,24,35,16,88,7.07,26.0,0.8,65.0,0.18,1.0,1.2,0.008,-0.20000000000000018,0.6666666666666667
