Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
GW1,11/02/2021,0.98,0.79,0.98,1,2,4,5,11,6.74,79,38,140,0.38,2,1.3,0.033
GW1,11/02/2021,1.02,1.03,1.02,1,4,9,15,28,6.74,79,38,140,0.38,2,1.3,0.033
GW1,11/02/2021,3.9,2,3.9,5,25,67,52,150,6.74,79,38,140,0.38,2,1.3,0.033
GW1,11/02/2021,5.8,3.5,5.8,11,37,65,27,140,6.74,79,38,140,0.38,2,1.3,0.033
GW1,11/02/2021,9.8,7,9.8,17,32,42,13,100,6.74,79,38,140,0.38,2,1.3,0.033
GW2,8/03/2019,0.98,0.04,0.99,1,1,1,1,4,,,,,,,,
GW2,8/03/2019,2,0.01,1.9,1,1,1,1,4,,,,,,,,
GW2,8/03/2019,3.5,1.6,4.1,2,1,2,4,9,,,,,,,,
GW2,8/03/2019,6,1.5,6.4,2,2,7,71,82,,,,,,,,
GW2,8/03/2019,10,5.2,10.2,3,7,26,50,86,,,,,,,,
GW3,3/04/2019,1.01,0.76,1.01,1,1,4,10,14,,,,,,,,
GW3,3/04/2019,2.2,1.68,2.1,1,2,6,7,16,,,,,,,,
GW3,3/04/2019,4.2,3.8,4.4,2,5,8,4,19,,,,,,,,
GW3,3/04/2019,6,5.9,6.1,3,5,7,3,18,,,,,,,,
GW3,3/04/2019,10,8,9.8,5,10,8,3,26,,,,,,,,
GW4,7/06/2019,1.1,0.98,1.13,1,1,1,8,8,,,,,,,,
GW4,7/06/2019,2.08,1.34,2.12,1,1,1,39,39,,,,,,,,
GW4,7/06/2019,4.3,2.8,4.5,1,2,16,39,57,,,,,,,,
GW4,7/06/2019,6.4,4,6.7,1,5,20,28,54,,,,,,,,
GW4,7/06/2019,9.8,10,10.6,3,9,21,18,51,,,,,,,,
GW5,9/07/2019,1.12,0.36,1.2,1,1,1,6,6,,,,,,,,
GW5,9/07/2019,2.12,0.6,2.13,1,1,1,17,17,,,,,,,,
GW5,9/07/2019,4.6,2.2,4.8,2,2,15,28,47,,,,,,,,
GW5,9/07/2019,6.1,3.7,7.1,3,6,19,19,47,,,,,,,,
GW5,9/07/2019,11,6.6,11.4,6,12,24,16,58,,,,,,,,
GW6,28/04/2021,0.93,0.51,0.97,1,1,1,1,4,,,,,,,,
GW6,28/04/2021,1.82,0.78,1.88,1,1,1,1,4,,,,,,,,
GW6,28/04/2021,4.1,3,4.2,1,1,1,1,4,,,,,,,,
GW6,28/04/2021,5.9,0.74,6.1,1,1,1,17,17,,,,,,,,
GW6,28/04/2021,9.8,4.2,10,1,3,6,16,25,,,,,,,,
GW7,20/09/2019,0.97,0.49,0.97,1,1,1,1,4,7.88,186,0.4,455,1.4,4,1.5,0.04
GW7,20/09/2019,1.93,0.93,1.93,1,1,1,1,4,7.88,186,0.4,455,1.4,4,1.5,0.04
GW7,20/09/2019,4,1.9,4,1,2,3,9,14,7.88,186,0.4,455,1.4,4,1.5,0.04
GW7,20/09/2019,5.8,1.6,5.8,1,4,12,130,150,7.88,186,0.4,455,1.4,4,1.5,0.04
GW7,20/09/2019,10.4,4.8,10.4,5,12,38,77,130,7.88,186,0.4,455,1.4,4,1.5,0.04
GW8,12/05/2020,0.88,0.9,0.95,1,1,1,1,4,8.04,34,0.1,37,0.1,2,1.5,0.035
GW8,12/05/2020,1.75,1.69,1.9,7,2,1,1,9,8.04,34,0.1,37,0.1,2,1.5,0.035
GW8,12/05/2020,3.4,3.6,3.8,12,14,13,4,43,8.04,34,0.1,37,0.1,2,1.5,0.035
GW8,12/05/2020,5.3,5,5.5,20,19,14,2,55,8.04,34,0.1,37,0.1,2,1.5,0.035
GW8,12/05/2020,9.4,8.2,9.6,30,24,16,2,72,8.04,34,0.1,37,0.1,2,1.5,0.035
SW1,10/12/2019,0.89,0.49,0.93,1,4,15,39,58,7.57,59,0.3,140,0.32,1,1.6,0.02
SW1,10/12/2019,2.1,1.34,2,4,12,42,64,120,7.57,59,0.3,140,0.32,1,1.6,0.02
SW1,10/12/2019,4,3.3,4.1,7,33,61,40,140,7.57,59,0.3,140,0.32,1,1.6,0.02
SW1,10/12/2019,5.9,5.6,6.1,13,49,64,31,160,7.57,59,0.3,140,0.32,1,1.6,0.02
SW1,10/12/2019,11.6,9.8,11.2,22,61,62,25,170,7.57,59,0.3,140,0.32,1,1.6,0.02
SW2,9/12/2020,0.72,0.68,0.81,1,4,11,72,87,7.74,61,0.39,145,0.28,1,1.4,0.015
SW2,9/12/2020,1.67,1.42,1.71,1,9,48,93,150,7.74,61,0.39,145,0.28,1,1.4,0.015
SW2,9/12/2020,3.9,3.7,4.1,6,23,65,62,160,7.74,61,0.39,145,0.28,1,1.4,0.015
SW2,9/12/2020,5.6,5,5.8,10,35,67,48,160,7.74,61,0.39,145,0.28,1,1.4,0.015
SW2,9/12/2020,9.4,8.4,9.8,17,49,66,37,170,7.74,61,0.39,145,0.28,1,1.4,0.015
SW3,26/03/2019,0.9,0.39,0.9,2,7,21,41,71,7.39,57,0.6,130,0.26,3,1.5,0.033
SW3,26/03/2019,2.1,1.23,2.1,6,23,55,44,130,7.39,57,0.6,130,0.26,3,1.5,0.033
SW3,26/03/2019,3.9,3.5,3.9,14,40,68,31,150,7.39,57,0.6,130,0.26,3,1.5,0.033
SW3,26/03/2019,6.4,5.7,6.4,22,50,70,25,170,7.39,57,0.6,130,0.26,3,1.5,0.033
SW3,26/03/2019,10.8,7.6,10.8,33,59,70,21,180,7.39,57,0.6,130,0.26,3,1.5,0.033
SW4,14/01/2020,0.99,0.71,0.99,2,8,22,30,62,7.07,26,0.8,65,0.18,1,1.2,0.008
SW4,14/01/2020,1.84,1.65,1.84,9,16,32,19,76,7.07,26,0.8,65,0.18,1,1.2,0.008
SW4,14/01/2020,4,4.2,4,13,24,35,16,88,7.07,26,0.8,65,0.18,1,1.2,0.008
SW4,14/01/2020,5.8,5.9,5.8,18,28,34,14,94,7.07,26,0.8,65,0.18,1,1.2,0.008
SW4,14/01/2020,10,10,10,16,26,28,9,79,7.07,26,0.8,65,0.18,1,1.2,0.008
SW5,6/08/2019,1.01,0.28,1.02,8,16,20,9,53,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,2.1,1.14,2.3,27,42,46,11,130,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,4.5,3.4,4.6,46,51,46,10,150,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,6.9,5.6,7.1,59,56,48,9,170,6.83,30,2.5,70,0.18,7,1.9,0.049
SW5,6/08/2019,11.4,10.2,11.6,110,74,57,11,250,6.83,30,2.5,70,0.18,7,1.9,0.049
GW9,15/05/2019,1.06,0.08,1.07,1,1,1,1,4,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,1.88,0.54,1.92,1,1,2,3,6,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,4.6,2.3,4.7,2,3,4,16,25,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,6.2,1.04,6.5,2,4,12,150,170,7.93,214,0.2,555,1.5,4,1.7,0.041
GW9,15/05/2019,10.6,5,11,4,11,44,130,190,7.93,214,0.2,555,1.5,4,1.7,0.041
GW10,11/05/2021,1.03,0.79,9.8,1,1,1,1,1,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,1.83,0.9,0.9,1,1,1,3,3,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,4.2,2.7,2.1,1,1,1,12,14,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,5.9,1.05,3.9,2,2,4,100,110,8,228,0.2,555,1.6,2,1.6,0.044
GW10,11/05/2021,9.6,4.2,6.4,3,4,51,160,220,8,228,0.2,555,1.6,2,1.6,0.044
GW11,13/06/2019,1.09,0.13,1.09,1,1,1,1,2,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,2,0.1,2,1,1,2,6,9,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,4.5,0.25,4.5,1,2,5,28,36,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,6.7,2.2,6.7,1,3,14,96,110,7.91,236,0.3,635,1.8,3,1.4,0.034
GW11,13/06/2019,10.4,6.2,10.4,2,9,38,74,120,7.91,236,0.3,635,1.8,3,1.4,0.034
GW12,10/10/2019,0.96,0.98,0.96,1,1,2,1,3,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,1.9,1.73,1.9,1,2,3,7,12,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,4.1,0.45,4.1,2,3,8,42,55,7.98,205,0.4,495,1.5,3,1.5,0.036
GW12,10/10/2019,6.1,2.3,6.1,3,6,25,150,180,7.98,205,0.4,495,1.5,3,1.5,0.036
